Date,Close,High,Low,Open,Volume,Symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
2020-10-29,13437.8828125,13612.0478515625,12980.0595703125,13271.298828125,56499499598.0,BTC-USD,,,,,,,,,,
2020-10-30,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201.0,BTC-USD,,,,,,,,,,
2020-10-31,13780.9951171875,14028.2138671875,13457.5302734375,13546.5322265625,30306464719.0,BTC-USD,,,,,,,,,,
2020-11-01,13737.109375,13862.033203125,13628.3779296875,13780.9951171875,24453857900.0,BTC-USD,,,,,,,,,,
2020-11-02,13550.4892578125,13808.3232421875,13243.16015625,13737.0322265625,30771455468.0,BTC-USD,,,,,,,,,,
2020-11-03,13950.30078125,13984.9814453125,13325.44140625,13550.451171875,29869951617.0,BTC-USD,,,,,,,,,,
2020-11-04,14133.70703125,14218.7666015625,13580.4716796875,13950.48828125,35116364962.0,BTC-USD,,,,,,,,,,
2020-11-05,15579.8486328125,15706.404296875,14102.0888671875,14133.7333984375,40856321439.0,BTC-USD,,,,,,,,,,
2020-11-06,15565.880859375,15903.4375,15226.83984375,15579.7294921875,39837841971.0,BTC-USD,,,,,,,,,,
2020-11-07,14833.75390625,15737.095703125,14423.203125,15565.880859375,35024953706.0,BTC-USD,,,,,,,,,,
2020-11-08,15479.5673828125,15637.3203125,14744.1103515625,14833.75390625,26632075029.0,BTC-USD,,,,,,,,,,
2020-11-09,15332.3154296875,15785.13671875,14865.529296875,15479.595703125,34149115566.0,BTC-USD,,,,,,,,,,
2020-11-10,15290.90234375,15450.3291015625,15124.9599609375,15332.3505859375,25574938143.0,BTC-USD,,,,,,,,,,
2020-11-11,15701.33984375,15916.2607421875,15290.0068359375,15290.9091796875,29772374934.0,BTC-USD,,,,,,,,,,
2020-11-12,16276.34375,16305.00390625,15534.771484375,15701.298828125,34175758344.0,BTC-USD,,,,,,,,,,
2020-11-13,16317.80859375,16463.177734375,15992.15234375,16276.4404296875,31599492172.0,BTC-USD,,,,,,,,,,
2020-11-14,16068.138671875,16317.80859375,15749.193359375,16317.80859375,27481710135.0,BTC-USD,,,,,,,,,,
2020-11-15,15955.587890625,16123.1103515625,15793.5341796875,16068.1396484375,23653867583.0,BTC-USD,,,,,,,,,,
2020-11-16,16716.111328125,16816.181640625,15880.7060546875,15955.5771484375,31526766675.0,BTC-USD,,,,,,,,,,
2020-11-17,17645.40625,17782.919921875,16564.544921875,16685.69140625,39006849170.0,BTC-USD,,,,,,,,,,
2020-11-18,17804.005859375,18393.94921875,17352.90625,17645.19140625,49064800278.0,BTC-USD,,,,,,,,,,
2020-11-19,17817.08984375,18119.546875,17382.5546875,17803.861328125,36985055355.0,BTC-USD,,,,,,,,,,
2020-11-20,18621.314453125,18773.2265625,17765.794921875,17817.083984375,36992873940.0,BTC-USD,,,,,,,,,,
2020-11-21,18642.232421875,18936.62109375,18444.359375,18621.31640625,39650210707.0,BTC-USD,,,,,,,,,,
2020-11-22,18370.001953125,18688.96875,17671.384765625,18642.232421875,41280434226.0,BTC-USD,,,,,,,,,,
2020-11-23,18364.12109375,18711.42578125,18000.796875,18370.017578125,42741112308.0,BTC-USD,,,,,,,,,,
2020-11-24,19107.46484375,19348.271484375,18128.65625,18365.015625,51469565009.0,BTC-USD,,,,,,,,,,
2020-11-25,18732.12109375,19390.96484375,18581.146484375,19104.41015625,43710357371.0,BTC-USD,,,,,,,,,,
2020-11-26,17150.623046875,18866.28515625,16351.03515625,18729.83984375,61396835737.0,BTC-USD,,,,,,,,,,
2020-11-27,17108.40234375,17445.0234375,16526.423828125,17153.9140625,38886494645.0,BTC-USD,,,,,,,,,,
2020-11-28,17717.4140625,17853.939453125,16910.65234375,17112.93359375,32601040734.0,BTC-USD,,,,,,,,,,
2020-11-29,18177.484375,18283.62890625,17559.1171875,17719.634765625,31133957704.0,BTC-USD,,,,,,,,,,
2020-11-30,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399.0,BTC-USD,,,,,,,,,,
2020-12-01,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712.0,BTC-USD,,,,,,,,,,
2020-12-02,19201.091796875,19308.330078125,18347.71875,18801.744140625,37387697139.0,BTC-USD,,,,,,,,,,
2020-12-03,19445.3984375,19566.19140625,18925.78515625,19205.92578125,31930317405.0,BTC-USD,,,,,,,,,,
2020-12-04,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058.0,BTC-USD,,,,,,,,,,
2020-12-05,19154.23046875,19160.44921875,18590.193359375,18698.384765625,27242455064.0,BTC-USD,,,,,,,,,,
2020-12-06,19345.12109375,19390.5,18897.89453125,19154.1796875,25293775714.0,BTC-USD,,,,,,,,,,
2020-12-07,19191.630859375,19411.828125,18931.142578125,19343.12890625,26896357742.0,BTC-USD,,,,,,,,,,
2020-12-08,18321.14453125,19283.478515625,18269.9453125,19191.529296875,31692288756.0,BTC-USD,,,,,,,,,,
2020-12-09,18553.916015625,18626.29296875,17935.546875,18320.884765625,34420373071.0,BTC-USD,,,,,,,,,,
2020-12-10,18264.9921875,18553.298828125,17957.064453125,18553.298828125,25547132265.0,BTC-USD,,,,,,,,,,
2020-12-11,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985.0,BTC-USD,,,,,,,,,,
2020-12-12,18803.65625,18919.55078125,18046.041015625,18051.3203125,21752580802.0,BTC-USD,,,,,,,,,,
2020-12-13,19142.3828125,19381.53515625,18734.33203125,18806.765625,25450468637.0,BTC-USD,,,,,,,,,,
2020-12-14,19246.64453125,19305.099609375,19012.708984375,19144.4921875,22473997681.0,BTC-USD,,,,,,,,,,
2020-12-15,19417.076171875,19525.0078125,19079.841796875,19246.919921875,26741982541.0,BTC-USD,,,,,,,,,,
2020-12-16,21310.59765625,21458.908203125,19298.31640625,19418.818359375,44409011479.0,BTC-USD,,,,,,,,,,
2020-12-17,22805.162109375,23642.66015625,21234.67578125,21308.3515625,71378606374.0,BTC-USD,,,,,,,,,,
2020-12-18,23137.9609375,23238.6015625,22399.8125,22806.796875,40387896275.0,BTC-USD,,,,,,,,,,
2020-12-19,23869.83203125,24085.85546875,22826.47265625,23132.865234375,38487546580.0,BTC-USD,,,,,,,,,,
2020-12-20,23477.294921875,24209.66015625,23147.7109375,23861.765625,37844228422.0,BTC-USD,,,,,,,,,,
2020-12-21,22803.08203125,24059.982421875,22159.3671875,23474.455078125,45852713981.0,BTC-USD,,,,,,,,,,
2020-12-22,23783.029296875,23789.90234375,22430.60546875,22794.0390625,44171632681.0,BTC-USD,,,,,,,,,,
